apt	3.2.0	arm64
base-files	14ubuntu6.2	arm64
base-passwd	3.6.8	arm64
bash	5.3-2ubuntu1	arm64
binutils	2.46-3ubuntu2	arm64
binutils-aarch64-linux-gnu	2.46-3ubuntu2	arm64
binutils-common:arm64	2.46-3ubuntu2	arm64
bsdutils	1:2.41.3-3ubuntu2	arm64
build-essential	12.12ubuntu2.26.04.2	arm64
bzip2	1.0.8-6ubuntu0.1	arm64
ca-certificates	20260601~26.04.1	all
coreutils	9.5-1ubuntu2+0.0.0~ubuntu25	all
coreutils-from-uutils	0.0.0~ubuntu25	all
cpp	4:15.2.0-5ubuntu1	arm64
cpp-15	15.2.0-16ubuntu1	arm64
cpp-15-aarch64-linux-gnu	15.2.0-16ubuntu1	arm64
cpp-aarch64-linux-gnu	4:15.2.0-5ubuntu1	arm64
curl	8.18.0-1ubuntu2.5	arm64
dash	0.5.12-12ubuntu3	arm64
debconf	1.5.92	all
debianutils	5.23.2build1	arm64
diffutils	1:3.12-1	arm64
dpkg	1.23.7ubuntu1	arm64
dpkg-dev	1.23.7ubuntu1	all
e2fsprogs	1.47.2-3ubuntu4	arm64
findutils	4.10.0-3build2	arm64
g++	4:15.2.0-5ubuntu1	arm64
g++-15	15.2.0-16ubuntu1	arm64
g++-15-aarch64-linux-gnu	15.2.0-16ubuntu1	arm64
g++-aarch64-linux-gnu	4:15.2.0-5ubuntu1	arm64
gcc	4:15.2.0-5ubuntu1	arm64
gcc-15	15.2.0-16ubuntu1	arm64
gcc-15-aarch64-linux-gnu	15.2.0-16ubuntu1	arm64
gcc-15-base:arm64	15.2.0-16ubuntu1	arm64
gcc-16-base:arm64	16-20260322-1ubuntu1	arm64
gcc-aarch64-linux-gnu	4:15.2.0-5ubuntu1	arm64
git	1:2.53.0-1ubuntu1	arm64
git-man	1:2.53.0-1ubuntu1	all
gnu-coreutils	9.7-3ubuntu2	arm64
gpgv	2.4.8-4ubuntu3	arm64
grep	3.12-1	arm64
gzip	1.14-1~exp2ubuntu1.1	arm64
hostname	3.25build1	arm64
init-system-helpers	1.69	all
libacl1:arm64	2.3.2-2	arm64
libapt-pkg7.0:arm64	3.2.0	arm64
libasan8:arm64	16-20260322-1ubuntu1	arm64
libatomic1:arm64	16-20260322-1ubuntu1	arm64
libattr1:arm64	1:2.5.2-4	arm64
libaudit-common	1:4.1.2-1build1	all
libaudit1:arm64	1:4.1.2-1build1	arm64
libbinutils:arm64	2.46-3ubuntu2	arm64
libblkid1:arm64	2.41.3-3ubuntu2	arm64
libbrotli1:arm64	1.2.0-3build1	arm64
libbsd0:arm64	0.12.2-2build2	arm64
libbz2-1.0:arm64	1.0.8-6ubuntu0.1	arm64
libc-bin	2.43-2ubuntu2.4	arm64
libc-dev-bin	2.43-2ubuntu2.4	arm64
libc-gconv-modules-extra:arm64	2.43-2ubuntu2.4	arm64
libc6:arm64	2.43-2ubuntu2.4	arm64
libc6-dev:arm64	2.43-2ubuntu2.4	arm64
libcap-ng0:arm64	0.8.5-4build5	arm64
libcc1-0:arm64	16-20260322-1ubuntu1	arm64
libcom-err2:arm64	1.47.2-3ubuntu4	arm64
libcrypt-dev:arm64	1:4.5.1-1	arm64
libcrypt1:arm64	1:4.5.1-1	arm64
libctf-nobfd0:arm64	2.46-3ubuntu2	arm64
libctf0:arm64	2.46-3ubuntu2	arm64
libcurl3t64-gnutls:arm64	8.18.0-1ubuntu2.5	arm64
libcurl4t64:arm64	8.18.0-1ubuntu2.5	arm64
libdb5.3t64:arm64	5.3.28+dfsg2-10ubuntu1	arm64
libdebconfclient0:arm64	0.280ubuntu1	arm64
libdpkg-perl	1.23.7ubuntu1	all
liberror-perl	0.17030-1	all
libevent-core-2.1-7t64:arm64	2.1.12-stable-10ubuntu0.1	arm64
libexpat1:arm64	2.7.4-1	arm64
libext2fs2t64:arm64	1.47.2-3ubuntu4	arm64
libffi8:arm64	3.5.2-4	arm64
libgcc-15-dev:arm64	15.2.0-16ubuntu1	arm64
libgcc-s1:arm64	16-20260322-1ubuntu1	arm64
libgcrypt20:arm64	1.12.0-2ubuntu1	arm64
libgdbm-compat4t64:arm64	1.26-1build1	arm64
libgdbm6t64:arm64	1.26-1build1	arm64
libgmp10:arm64	2:6.3.0+dfsg-5ubuntu2	arm64
libgnutls30t64:arm64	3.8.12-2ubuntu1.1	arm64
libgomp1:arm64	16-20260322-1ubuntu1	arm64
libgpg-error0:arm64	1.58-2	arm64
libgprofng0:arm64	2.46-3ubuntu2	arm64
libgssapi-krb5-2:arm64	1.22.1-2ubuntu4.1	arm64
libhogweed6t64:arm64	3.10.2-1	arm64
libhwasan0:arm64	16-20260322-1ubuntu1	arm64
libidn2-0:arm64	2.3.8-4build1	arm64
libisl23:arm64	0.27-1build1	arm64
libitm1:arm64	16-20260322-1ubuntu1	arm64
libjansson4:arm64	2.14-2build4	arm64
libjemalloc2:arm64	5.3.0-4	arm64
libk5crypto3:arm64	1.22.1-2ubuntu4.1	arm64
libkeyutils1:arm64	1.6.3-6ubuntu3	arm64
libkrb5-3:arm64	1.22.1-2ubuntu4.1	arm64
libkrb5support0:arm64	1.22.1-2ubuntu4.1	arm64
libldap-common	2.6.10+dfsg-1ubuntu5	all
libldap2:arm64	2.6.10+dfsg-1ubuntu5	arm64
liblsan0:arm64	16-20260322-1ubuntu1	arm64
liblz4-1:arm64	1.10.0-8	arm64
liblzma5:arm64	5.8.3-1	arm64
libmd0:arm64	1.1.0-2build4	arm64
libmount1:arm64	2.41.3-3ubuntu2	arm64
libmpc3:arm64	1.3.1-3	arm64
libmpfr6:arm64	4.2.2-3	arm64
libncursesw6:arm64	6.6+20251231-1	arm64
libnettle8t64:arm64	3.10.2-1	arm64
libnghttp2-14:arm64	1.68.0-2ubuntu0.2	arm64
libp11-kit0:arm64	0.26.2-2	arm64
libpam-modules:arm64	1.7.0-5ubuntu3.1	arm64
libpam-modules-bin	1.7.0-5ubuntu3.1	arm64
libpam-runtime	1.7.0-5ubuntu3.1	all
libpam0g:arm64	1.7.0-5ubuntu3.1	arm64
libpcre2-8-0:arm64	10.46-1build1	arm64
libperl5.40:arm64	5.40.1-7ubuntu0.3	arm64
libproc2-0:arm64	2:4.0.4-9ubuntu1	arm64
libpsl5t64:arm64	0.21.2-1.1build2	arm64
libpython3-stdlib:arm64	3.14.3-0ubuntu2	arm64
libpython3.14-minimal:arm64	3.14.4-1ubuntu0.2	arm64
libpython3.14-stdlib:arm64	3.14.4-1ubuntu0.2	arm64
